year,aqi
1995.0,43.0
1995.0,51.0
1995.0,31.0
1995.0,21.0
1995.0,35.0
1995.0,36.0
1995.0,29.0
1995.0,35.0
1995.0,22.0
1995.0,41.0
1995.0,44.0
1995.0,36.0
1995.0,36.0
1995.0,16.0
1995.0,40.0
1995.0,28.0
1995.0,40.0
1995.0,43.0
1995.0,50.0
1995.0,46.0
1995.0,32.0
1996.0,32.0
1996.0,73.0
1996.0,36.0
1996.0,39.0
1996.0,21.0
1996.0,26.0
1996.0,16.0
1996.0,19.0
1996.0,18.0
1996.0,50.0
1996.0,69.0
1996.0,42.0
1996.0,28.0
1996.0,43.0
1996.0,39.0
1996.0,21.0
1996.0,31.0
1996.0,38.0
1996.0,32.0
1996.0,46.0
1996.0,25.0
1996.0,40.0
1996.0,52.0
1996.0,30.0
1996.0,23.0
1996.0,22.0
1996.0,30.0
1996.0,38.0
1996.0,29.0
1996.0,45.0
1997.0,
1997.0,21.0
1997.0,
1997.0,19.0
1997.0,
1997.0,13.0
1997.0,
1997.0,36.0
1997.0,
1997.0,39.0
1997.0,
1997.0,35.0
1997.0,
1997.0,31.0
1997.0,
1997.0,21.0
1997.0,
1997.0,10.0
1997.0,
1997.0,21.0
1997.0,
1997.0,36.0
1997.0,
1997.0,24.0
1997.0,
1997.0,21.0
1997.0,
1997.0,70.0
1997.0,
1997.0,12.0
1997.0,
1997.0,10.0
1997.0,
1997.0,18.0
1997.0,
1997.0,24.0
1997.0,
1997.0,31.0
1997.0,
1997.0,26.0
1997.0,
1997.0,
1997.0,
1997.0,44.0
1997.0,
1997.0,45.0
1997.0,
1997.0,42.0
1997.0,
1997.0,48.0
1997.0,
1997.0,
1997.0,
1997.0,28.0
1997.0,
1997.0,
1997.0,
1997.0,21.0
1997.0,
1997.0,20.0
1997.0,
1997.0,27.0
1997.0,
1997.0,20.0
1997.0,
1997.0,30.0
1997.0,
1997.0,12.0
1997.0,
1997.0,11.0
1997.0,
1997.0,15.0
